ID,time,pos
1,0,-380.0
1,1,-372.0
1,2,-257.0
1,4,-115.0
1,5,-108.0
1,6,-77.0
1,8,-18.0
3,0,-422.0
3,1,-328.0
3,2,-303.0
3,4,-250.0
3,5,-213.0
3,6,-17.0
3,8,72.0
4,0,-328.0
4,1,-297.0
4,2,-262.0
4,4,-212.0
4,5,-177.0
4,6,-172.0
4,8,-79.0
7,0,-406.0
7,2,112.0
7,3,363.0
7,4,439.0
7,5,609.0
7,6,711.0
7,7,916.0
7,8,1032.0
8,0,-320.0
8,1,-247.0
8,2,-133.0
8,3,-61.0
8,4,170.0
8,5,502.0
8,6,572.0
8,7,732.0
8,8,826.0
15,0,-219.0
15,2,85.0
15,3,375.0
15,4,533.0
15,5,813.0
15,6,1003.0
15,7,1280.0
15,8,1626.0
16,0,-256.0
16,1,-225.0
16,2,-51.0
16,3,229.0
16,4,383.0
16,6,643.0
16,7,747.0
20,0,-57.0
20,1,-83.0
20,2,-18.0
20,3,70.0
20,4,378.0
20,5,578.0
20,6,842.0
20,7,1092.0
20,8,1518.0
22,0,-172.0
22,1,-196.0
22,3,125.0
22,4,415.0
22,5,784.0
22,6,1059.0
22,7,1252.0
22,8,1658.0
23,0,-288.0
23,2,125.0
23,4,466.0
23,5,550.0
23,6,619.0
23,7,711.0
23,8,918.0
28,0,-102.0
28,2,77.0
28,3,274.0
28,4,483.0
28,6,582.0
28,7,702.0
28,8,874.0
fa01,0,-474.0
fa01,1,-412.0
fa01,2,-446.0
fa01,3,-350.0
fa01,4,-361.0
fa01,6,-363.0
fa01,8,-319.0
fa05,0,-646.0
fa05,1,-594.0
fa05,2,-565.0
fa05,3,-585.0
fa05,4,-611.0
fa05,5,-630.0
fa05,6,-646.0
fa05,7,-651.0
fa10,0,-486.0
fa10,1,-446.0
fa10,2,-400.0
fa10,3,-384.0
fa10,4,-321.0
fa11,0,-565.0
fa11,1,-577.0
fa11,2,-563.0
fa11,4,-569.0
fa11,5,-521.0
fa11,6,-476.0
fa12,0,-658.0
fa12,1,-640.0
fa12,2,-577.0
fa12,3,-577.0
fa12,4,-519.0
fa12,5,-470.0
fa16,0,-122.0
fa16,2,49.0
fa16,3,194.0
fa16,5,773.0
fa16,6,881.0
fa16,7,1101.0
fa16,8,1499.0
fa17,0,-50.0
fa17,1,-48.0
fa17,2,50.0
fa17,3,163.0
fa17,4,386.0
fa17,5,816.0
fa17,6,904.0
fa17,7,1201.0
fa17,8,1346.0
